"name","id","lon","lat"
"乌鲁木齐","10","87.576079383","43.7822252036"
"拉萨","11","91.1632178976","29.7105597282"
"西宁","12","101.797439042","36.5937248286"
"兰州","13","103.584420659","36.1191745343"
"成都","14","104.035634403","30.71431481"
"重庆","15","106.519225022","29.4790732252"
"贵阳","16","106.668183381","26.4574856176"
"昆明","17","102.72691473","24.9695684445"
"银川","18","106.1673243","38.5985925629"
"西安","19","108.967213466","34.276221246"
"南宁","20","108.234036288","22.7485021363"
"海口","21","110.346274379","19.9701500776"
"广州","22","113.226755116","23.1832770959"
"长沙","23","112.947995764","28.1700818808"
"南昌","24","115.893762253","28.6525285819"
"福州","25","119.24679821","26.0709558302"
"台北","26","121.50358486","25.008475846"
"杭州","27","120.183062425","30.3307423978"
"上海","28","121.449713061","31.2535143977"
"武汉","29","114.216652064","30.5794006512"
"合肥","30","117.262334214","31.8384948639"
"南京","31","118.805713981","32.0851641858"
"郑州","32","113.651150642","34.7464192093"
"济南","33","117.048353974","36.6085108426"
"石家庄","34","114.478252663","38.0333612473"
"太原","35","112.483119061","37.798487801"
"呼和浩特","36","111.842855648","40.8958065302"
"天津","37","117.351108195","38.9258006402"
"沈阳","38","123.296260036","41.8016744624"
"长春","39","125.261357358","43.9820408443"
"哈尔滨","40","126.567056078","45.6938565538"
"北京","41","116.068296813","39.8922968887"
"香港","42","114.093184252","22.4280659909"
"澳门","43","113.552553581","22.184709711"
